Date,Type,Time,Range,Reason,Source
2023-11-18,停水,19:00-23:59,沙河校区 - 主楼A~F座（含附楼）,为沙河校区新图书馆建设准备，近期开展图书馆区域室外给水管线移改和接驳，施工过程中需要对主楼A~F座（含附楼）临时停水,北航总务推送
2023-11-19,停水,00:00-07:00,沙河校区 - 主楼A~F座（含附楼）,为沙河校区新图书馆建设准备，近期开展图书馆区域室外给水管线移改和接驳，施工过程中需要对主楼A~F座（含附楼）临时停水,北航总务推送
2023-12-31,停水,02:00-05:00,沙河校区 - 学生1-4公寓卫生间用水(马桶、小便池),对3公寓中水泵阀门更换，此期间暂停中水供水,公寓群转发物业通知
2024-01-05,停水,09:30-17:00,沙河校区 - 学生1-4号公寓宿舍卫生间马桶、小便池用水,沙河校区东区学生1公寓中庭院中水主管破裂，现需紧急停水抢修,公寓群转发物业通知
2024-01-12,停水,09:00-17:00,沙河校区 - 学生1-4号公寓,沙河校区东区学生3、4公寓路口处中水主管破裂,公寓群转发物业通知
2024-01-23,停电,10:00-18:00,沙河校区 - 实验一至实验三所有实验室、办公室内的照明、插座、空调用电及公区照明、电梯等设备供电；实验楼西侧充电桩,为配合实验四-104材料学院透射电镜实验室电力增容改造工程，现需对实验三配电室进行停电施工,北航总务推送
2024-01-30,停水,15:00-不可知,沙河校区 - 学生1-2号公寓宿舍G0层、1层卫生间蹲坑、小便池用水,沙河校区东区学生1.2公寓路口处中水主管破裂,公寓群转发物业通知
2024-03-20,停水,00:00-04:00,沙河校区 - 北京航空航天大学沙河校区,因昌平区自来水公司对沙河校区自来水管网入户水表升级改造，现需进行停水作业,北航总务推送
2024-04-17,停水,23:30-23:59,沙河校区 - 北京航空航天大学沙河校区,因8号实验楼室外管线移改接驳，现需进行停水作业,北航总务推送
2024-04-18,停水,00:00-05:00、23:30-23:59,沙河校区 - 北京航空航天大学沙河校区,因8号实验楼室外管线移改接驳，现需进行停水作业,北航总务推送
2024-04-19,停水,00:00-05:00,沙河校区 - 北京航空航天大学沙河校区,因8号实验楼室外管线移改接驳，现需进行停水作业,北航总务推送
2024-05-01,停水,23:30-23:59,沙河校区 - 北京航空航天大学沙河校区,因8号实验楼室外设备基础施工对现状管线进行移改，现需进行停水作业,北航总务推送
2024-05-02,停水,00:00-05:00,沙河校区 - 北京航空航天大学沙河校区,因8号实验楼室外设备基础施工对现状管线进行移改，现需进行停水作业,北航总务推送
2024-05-04,停水,11:00-23:59,沙河校区 - 东区1公寓、2公寓、3公寓、4公寓,因1公寓、2公寓、3公寓、4公寓自来水主管道漏水，现需停水紧急抢修,公寓群转发物业通知
2024-05-05,停水,00:00-16:00,沙河校区 - 东区1公寓、2公寓、3公寓、4公寓,因1公寓、2公寓、3公寓、4公寓自来水主管道漏水，现需停水紧急抢修,公寓群转发物业通知
2024-06-16,多发,沙河停水：00:00-05:00、学院路停电：02:00-04:00,两校区 - 沙河校区 - 学生1/2/4公寓卫生间停水；学院路校区 - 学生1、2、3、4、5、6、7、8、9、10、11、20、21公寓、体育部及看台、超市发、知行楼、西区食堂（合一楼）、邮局、工商银行、优购超市、东区食堂、教工餐厅、知行餐厅停电,沙河校区 - 因学生3公寓中水泵房升级，需要暂停中水系统，届时卫生间用水将暂停，盥洗间用水不受影响；学院路校区 - 因合一楼配电室计量表计安装，现需进行停电作业,北航总务推送、北航后勤服务中心推送
2024-06-21,停水,23:00-23:59,沙河校区 - 学生1-4公寓卫生间蹲坑、小便器,因东区学生1-4公寓中水主道漏水，今夜需停水进行抢修，19点开始破路施工,公寓群转发物业通知
2024-06-22,停水,00:00-03:30,沙河校区 - 学生1-4公寓卫生间蹲坑、小便器,因东区学生1-4公寓中水主道漏水，今夜需停水进行抢修，19点开始破路施工,公寓群转发物业通知
2024-07-07,停水,00:00-04:00,学院路校区 - 北京航空航天大学学院路校区全校区（不含社区）,因第十六馆（曾宪梓科技楼）西侧马路下方自来水主管线漏水，需临时封闭该路段西半幅道路，对漏水区域进行维修,北航后勤服务中心推送
2024-07-24,停电,20:00-23:59,沙河校区 - A座、 B座、AS座、三期车库及三期实验室等区域照明及动力用电及电梯系统；C座， D座，E座，F座，DS座，FS座及风洞配电室等区域照明及动力用电及电梯系统；1至5号教学楼、1至4号实验楼；体育馆区域的照明及动力用电及公区监控设备、消防系统、电梯系统和园区路灯照明系统；1至3号实验楼、羽流实验室、3号实验楼网络机房、消防稳压泵房、公区监控设备、消防系统、电梯系统及部分园区照明等区域照明及动力用电；学生5至11号公寓，八号楼，西区食堂，唯实酒店（含学术会议中心），西区地下车库等区域照明及动力用电；学生1至4号公寓、东区食堂、沙河门诊部等照明及动力用电,为保证沙河校区高压供电设备的正常运行，确保供电安全性和可靠性。计划于7月24日至8月7日期间，分段对沙河校区供配电高压设备进行预防性试验和设备维护,北航总务推送
2024-07-27,停水,00:00-02:00,沙河校区 - 北京航空航天大学沙河校区全校区,因沙河校区南门东侧自来水管道漏水，现需进行停水维修,北航总务推送
2024-08-05,停电,00:00-02:00,学院路校区 - 教学区一号楼、二号楼、四号楼、九号楼（原培训中心）、西小楼、八号楼（如心楼）、主楼、主中（主M）、第二馆、第四馆、第五馆、第六馆（流体力学楼）、第七馆（水洞楼）、第八馆（继续教育楼、非晶态实验楼）、第九馆（逸夫科学馆）、第十馆（IRC楼）、第十一馆（汽车工程系实验中心）、第十二馆（无人机楼三期）、第十三馆（光电所）、第十四馆（为民楼）、十五馆（505楼）、第十六馆（曾宪梓科教楼）、库迪咖啡馆、5A实验室（五馆南侧）、科研南楼、航空航天博物馆、晨兴音乐厅、教学区二层简易楼（创业管理培训学院）、蜜蜂实验室、图书馆、图书馆东配楼、图书馆西配楼、学术交流厅、档案馆、四研二所、游泳馆、网球馆、微波实验室、锅炉房、附小、体育馆、学生1、2、3、5、6、7、8、9、10、11、20、21公寓、体育部及看台、超市发，学4楼、知行楼、西区食堂（合一楼）、邮局、工商银行、优购超市、家属区103、104、105、106、107、108、109、114、301、302、308、309、406、407、411、412、413、414、415、416、417、418住宅、西周转房、幼儿园、三区、四区电梯、一区电梯、煤气站、北周转房、附中、校医院,因我校变配电室系统设备年检、维护，现需进行停电作业,北航后勤服务中心推送
2024-08-06,停电,08:00-22:00,学院路校区 - 七号楼（人文学院楼）、图书馆、图书馆东配楼、图书馆西配楼、学术交流厅、档案馆、安保中心 、主北、3号楼、4号楼、第二馆、第三馆（校友楼）、第四馆、主中（主M）、柏彦东附楼、危化品库、教东门、附中、校医院、校医院西侧路充电桩、校医院西侧路快递柜,因我校变配电室系统设备年检、维护，现需进行停电作业,北航后勤服务中心推送
2024-08-07,停电,08:00-17:00,学院路校区 - 体育馆、体育馆南侧充电桩、为民楼,因我校变配电室系统设备年检、维护，现需进行停电作业,北航后勤服务中心推送
2024-08-08,停电,08:00-12:00；14:00-18:00,学院路校区 - 家属区301、302、308、309、406、407、411、412、413、414、415、416、417、418住宅、西周转房、幼儿园、三区电梯、四区电梯、103、104、105、106、107、108、109、114住宅、二区电梯、煤气站、北周转房；家属区303、304、305、306、307、401、402、403、404、405住宅、西院、幼儿园、后勤办公楼、西交换站、四区电梯、101、102、201、202、203、204、205、206、207、208、211、212、110住宅、一、二区电梯、石化楼 、九十楼交换站、北门保安室、北院、思源楼、北区路灯、水井,因我校变配电室系统设备年检、维护，现需进行停电作业,北航后勤服务中心推送
2024-08-09,停电,00:00-02:00,学院路校区 - 教学区一号楼、二号楼、三号楼、四号楼、六号楼（办公楼）、七号楼（人文学院楼）、八号楼（如心楼）、九号楼（原培训中心）、东小楼、西小楼、主楼、主中（主M）、主南、主北、第二馆、第三馆（校友楼）、第四馆、第五馆、第六馆（流体力学楼）、第七馆（水洞楼）、第八馆（继续教育楼、非晶态实验楼）、第九馆（校史馆）、第十馆（IRC楼）、第十一馆（汽车工程系实验中心）、第十二馆（无人机楼）、第十三馆（光电所）、第十四馆（为民楼）、十五馆（505楼）、第十六馆（曾宪梓科教楼）、科研南一楼、航空航天博物馆、晨兴音乐厅、教学区二层简易楼（创业管理培训学院）、蜜蜂实验室、新东门 、柏彦东附楼、危化品库（东门）、图书馆、图书馆东配楼、图书馆西配楼、学术交流厅、档案馆、安保中心 、微波实验室、701所、月宫一号、锅炉房、附小、体育馆、库迪咖啡馆、5A实验室（五馆南侧）、四研二所、游泳馆、网球馆、体育馆、西区食堂（合一楼）、优购超市、东区食堂（二食堂、教工餐厅）、知行餐厅、学生1、2、3、5、6、7、8、9、10、11、20、21公寓、体育部及看台、超市发、学4楼、知行楼、邮局、工商银行、家属区101、102、103、104、105、106、107、108、109、110、114、201、202、203、204、205、206、207、208、211、212、301、302、303、304、305、306、307、308、309、401、402、403、404、405、406、407、411、412、413、414、415、416、417、418住宅、石化楼 、九十楼交换站、北门保安室、北院、附中、校医院、思源楼、北区路灯、水井、西院、幼儿园、后勤办公楼、西交换站、西周转房、幼儿园、一区电梯、二区电梯、三区电梯、四区电梯、煤气站、北周转房,因我校变配电室系统设备年检、维护，现需进行停电作业,北航后勤服务中心推送
2024-08-10,停电,08:00-17:00,学院路校区 - 第十馆（IRC楼）、第十一馆（汽车工程系实验中心）、第十二馆（无人机楼三期）、第十三馆（光电所）、第十六馆（曾宪梓科教楼）、四研二所、游泳馆、网球馆、微波实验室、701所、月宫一号、南门、南2门、十五馆（505楼）、锅炉房、附小、附小南侧二层楼、南3门,因我校变配电室系统设备年检、维护，现需进行停电作业,北航后勤服务中心推送
2024-08-11,停电,08:00-17:00；23:00-23:59,学院路校区 - 教学区一号楼、二号楼、六号楼（办公楼）、八号楼（如心楼）、九号楼（原培训中心）主楼群、第五馆、第六馆（流体力学楼）、第七馆（水洞楼）、第八馆（继续教育楼、非晶态实验楼）、第九馆（校史馆）、库迪咖啡馆、5A实验室（五馆南侧）、科研南一楼、航空馆、晨兴音乐厅、教学区二层简易楼（创业管理培训学院）、蜜蜂实验楼、东门；学生1、2、3、5、6、7、8、9、10、11、20、21公寓、体育部及看台、超市发、学4楼、知行楼、西区食堂（合一楼）、东区食堂（学生二食堂、教工餐厅）、知行餐厅、邮局、工商银行、优购超市,因我校变配电室系统设备年检、维护，现需进行停电作业,北航后勤服务中心推送
2024-08-13,停电,23:30-23:59,沙河校区 - 沙河项目部、锅炉房、保安监控(北门)、体育馆、南2门、操场灯、下沉庭院灯、西一路、西二路路灯、东区食堂、综合楼、东大门、食堂热力交换站、太阳能洗浴换热站、临建工地办公区、快递驿站,因我校变配电室系统设备年检、维护，现需进行停电作业,北航后勤服务中心推送
2024-08-14,停电,00:00-00:30；13:00-18:00,沙河校区 - 沙河项目部、锅炉房、保安监控(北门)、体育馆、南2门、操场灯、下沉庭院灯、西一路、西二路路灯、东区食堂、综合楼、东大门、食堂热力交换站、太阳能洗浴换热站、临建工地办公区、快递驿站；沙河项目部、锅炉房、保安监控(北门),因我校变配电室系统设备年检、维护，现需进行停电作业,北航后勤服务中心推送
